Country,Facility Name,Facility Type,Fuel Type,Facility Status,Scale,Design Capacity,Start of Operation,End of Operation
Pakistan,Islamabad,Conversion to UO2,,In Operation,Commercial,0 t HM/year,1986,
Pakistan,Issa Khel / Kubul Kel,Uranium Ore Processing,,In Operation,Pilot plant,1 t U/year,1990,
Pakistan,Kahuta,Uranium Enrichment,,In Operation,Commercial,5 MTSWU/year,1984,
Portugal,NISA,Uranium Ore Processing,,Others,Commercial,160 t U/year,,
Portugal,Urgeirica,Uranium Ore Processing,,Shutdown,Commercial,170 t U/year,1951,1991
Portugal,Oficina De Tratamento Quim.,Uranium Ore Processing,,Shutdown,Commercial,50 t U/year,1951,2001
Portugal,Mina De Castelejo,Uranium Ore Processing,,Shutdown,Commercial,24 t U/year,1977,1994
Portugal,Mina Da Quinta Do Bispo,Uranium Ore Processing,,Shutdown,Commercial,22 t U/year,1979,2000
Portugal,Mina Cunha Baixa,Uranium Ore Processing,,Shutdown,Commercial,12 t U/year,1968,1991
Portugal,Mina Da Bica,Uranium Ore Processing,,Shutdown,Commercial,6 t U/year,1951,1998
Portugal,Mina Senhora Das Fontes,Uranium Ore Processing,,Shutdown,Pilot plant,4 t U/year,1956,1982
Portugal,Mina De Sevilha,Uranium Ore Processing,,Shutdown,Commercial, t U/year,1998,1999
Romania, Nuclear Fuel Plant  Subsidiary Pitesti (FCN Pitesti),"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,200 t HM/year,1980,
Romania,Feldioara Branch,Uranium Ore Processing,,Others,Commercial,300 t U/year,1978,
Romania,Romag-PROD Heavy Water Plant,Heavy Water Production,,Others,Commercial,360 t/year,1988,
Romania,Dry Storage Facility (WRMG),AFR Dry Spent Fuel Storage,,In Operation,Commercial,108000 Bundle/year,2003,
Romania,Suceava Branch,Uranium Mining,,Decommissioning,Commercial,410 t -ore/day,1983,
Romania,Bihor Branch,Uranium Mining,,Decommissioning,Commercial,510 t -ore/day,1952,2008
Romania,RATEN Institute of Nuclear Research(RATEN ICN Pitesi),Fuel Fabrication (Research Reactors),,In Operation,Laboratory,10 Elements/year,1971,
Romania,Oravita subsidiary,Uranium Ore Processing,,Decommissioning,Commercial, ,1956,2000
Romania,Feldioara Uranium Cocentrates Processing Plant,Conversion to UO2,Others,In Operation,Commercial, ,2023,
Russian Federation,"Machine - Building Plant, JSC MSZ (WWER)","Fuel Fabrication (U Pellet, Pin, FA)",UOX for VVER,In Operation,Commercial,1100 t U/year,1965,
Russian Federation,Leningrad NPP Site,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,4000 t HM,1984,
Russian Federation,Novovoronezh NPP Site,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,400 t HM,1986,
Russian Federation,"Machine - Building Plant ,JSC MSZ (FBR)","Fuel Fabrication (U Pellet, Pin, FA)",Fuel for FBR,In Operation,Commercial,50 t HM/year,1965,
Russian Federation,"Ural Electrochemical Intergrated Plant, JSC UEIP",Uranium Enrichment,,In Operation,Commercial, ,1949,
Russian Federation,RT-1 Plant,Spent Fuel Reprocessing - aqueous route,,In Operation,Commercial,400 t U/year,1977,
Russian Federation,"RT-2, Plant",Spent Fuel Reprocessing - aqueous route,,Under Construction,Commercial,800 t HM/year,2035,
Russian Federation,Kursk NPP Site,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2000 t HM,1986,
Russian Federation,Smolensk NPP Site,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2000 t HM,1996,
Russian Federation,VVER-1000 SNF wet storage facility,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,7600 t HM,1985,
Russian Federation,Priargunski / Krasnokamensk,Uranium Ore Processing,,In Operation,Commercial,3500 t U/year,1968,
Russian Federation,"Production Association Electrochemical Plant, JSC PA ECP",Uranium Enrichment,,In Operation,Commercial, MTSWU/year,1964,
Russian Federation,"Siberian Group of Chemical Enterprises, JSC SGChE",Uranium Enrichment,,In Operation,Commercial,4000 MTSWU/year,1953,
Russian Federation,"Angarsk Electrolysis Chemical Complex, JSC AECC",Uranium Enrichment,,In Operation,Commercial,1000 MTSWU/year,1954,
Russian Federation,"Angarsk Elecrolysis Chemical Complex, JSC AECC",Conversion to UF6,,Shutdown,Commercial,20000 t HM/year,1954,
Russian Federation,"Machine - Building Plant, JSC MSZ (RBMK)","Fuel Fabrication (U Pellet, Pin, FA)",Fuel for RBMK/LWGR,In Operation,Commercial,460 t U/year,1965,
Russian Federation,"Chepetski Machine Plant, JSC CMP",Conversion to UF4,,Shutdown,Commercial,2000 t/year,1959,
Russian Federation,Chepetski Machine Plant - Zircaloy,Zirconium Alloy Tubing,,In Operation,Commercial,650 t/year,1951,
Russian Federation,"RT-1, Mayak, Reprocessing Plant Site",AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,560 t HM,1975,
Russian Federation,Mayak - Paket,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,In Operation,Pilot plant,0.5 t HM/year,1980,
Russian Federation,RIAR (Research Institute of Atomic Reactors),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,In Operation,Pilot plant,1 t HM/year,1975,
Russian Federation,Dalur,Uranium Ore Processing,,In Operation,Commercial,800 t U/year,2002,
Russian Federation,Khiagda,Uranium Ore Processing,,Under Construction,Commercial,1800 t U/year,2011,
Russian Federation,RIAR (Research Institute of Atomic Reactors),Spent Fuel Reprocessing - aqueous route,,In Operation,Pilot plant,1 t HM/year,1965,
Russian Federation,Ekaterinburg (Sverdlovsk-44),Conversion to UF6,,Shutdown,Commercial,4000 t HM/year,1949,
Russian Federation,"Siberian Group of Chemical Enterprises, JSC SGChE",Conversion to UF6,,In Operation,Commercial,10000 t HM/year,1953,
Russian Federation,"Machine Building Plant, JSC MSZ (LWR)","Fuel Fabrication (U Pellet, Pin, FA)",,In Operation,Commercial,1100 t U/year,1965,
Russian Federation,"Novosibirsk Chemical Concentrates Plant, JSC NCCP (Pellets)","Fuel Fabrication (U Pellet, Pin, FA)",UOX for VVER,In Operation,Commercial,1200 t U/year,1979,
Russian Federation,"Mining and Chemical Complex Site, Stage I",AFR Dry Spent Fuel Storage,,In Operation,Commercial,8130 t HM,2011,
Russian Federation,RBMK-1000 SNF dry storage facility,AFR Dry Spent Fuel Storage,Fuel for RBMK/LWGR,In Operation,Commercial,17700 t HM,2012,
Russian Federation,VVER-1000 SNF dry storage Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,8900 t HM,2016,
Russian Federation,Pilot Demonstration Centre(PDC). Test demonstration facility for LWR SNF reprocessing with research chamber,Spent Fuel Reprocessing - aqueous route,"UOX for PWR, UOX for BWR",In Operation,Pilot plant,231 t U/year,2016,
Russian Federation,Test Demonstration facility for LWR SNF reprocessing-PhaseII,Spent Fuel Reprocessing - aqueous route,,Under Construction,Commercial,250 t HM/year,2024,
Russian Federation,MOX fuel fabrication plant,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",MOX for FR,In Operation,Commercial,400 Elements/year,2015,
Russian Federation,"Production Association Electrochemical Plant, JSC PA ECP",Re-Conversion to U3O8 (Rep. U),,In Operation,Commercial, ,2009,
Russian Federation,Fabrication-Refabrication module BREST-OD-300,Fuel Fabrication (Research Reactors),,Under Construction,Commercial, ,,
Russian Federation,MOX Fuel Fabrication Plant (REMIX),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,In Operation,Commercial, ,,
Russian Federation,Siberia Chemical Combine (SCC),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,In Operation,Commercial, ,,
Serbia,KALNA Mine,Uranium Ore Processing,,Shutdown,Pilot plant,200 t -ore/day,1963,1965
Slovakia,Bohunice NPP Site SFSF,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,14112 Elements/year,1987,
Slovakia,Bohumice NPP Site SFSF,AR Spent Fuel Storage,UOX for VVER,Under Construction,Commercial,10115 Elements/year,2023,
Slovenia,Rudnik Zirovski VRH,Uranium Ore Processing,,Decommissioning,Commercial,102 t U/year,1984,1991
Slovenia,Nuklearna elektrarna Krško,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,2600 Elements/year,2023,2122
South Africa,Beisa,Uranium Ore Processing,,Shutdown,Commercial,450 t U/year,1982,1984
South Africa,Blyvooruitzicht,Uranium Ore Processing,,Decommissioned,Commercial,500 t U/year,1956,1984
South Africa,Buffelsfontein,Uranium Ore Processing,,Under Construction,Commercial,400 t U/year,1957,
South Africa,Driefontein,Uranium Ore Processing,,Decommissioned,Commercial,500 t U/year,1956,1988
South Africa,East Rand,Uranium Ore Processing,,Decommissioned,Commercial,140 t U/year,1978,1991
South Africa,Freegold,Uranium Ore Processing,,Decommissioned,Commercial,500 t U/year,1977,1997
South Africa,Harmony (Merriespruit),Uranium Ore Processing,,Decommissioned,Commercial,150 t U/year,1956,1984
South Africa,Hartebeestfontein,Uranium Ore Processing,,Shutdown,Commercial,350 t U/year,1956,
South Africa,Nuclear Fuels Corporation (NUFCOR),Uranium Ore Processing,,In Operation,Commercial,5900 t U/year,1977,
South Africa,Palabora,Uranium Ore Processing,,Shutdown,Commercial,200 t U/year,1971,2002
South Africa,Randfontein (Cooke),Uranium Ore Processing,,Decommissioned,Commercial,500 t U/year,1978,1988
South Africa,Stilfontein,Uranium Ore Processing,,Decommissioned,Commercial,400 t U/year,1953,1961
South Africa,Vaal Reefs - 1,Uranium Ore Processing,,Shutdown,Commercial,2880 t U/year,1953,1997
South Africa,Valindaba (UF6),Conversion to UF6,,Shutdown,Commercial,1400 t HM/year,1986,1997
South Africa,Valindaba Z - Plant,Uranium Enrichment,,Decommissioning,Commercial,300 MTSWU/year,1986,1995
South Africa,West Rand Consolidated,Uranium Ore Processing,,Decommissioned,Commercial,500 t U/year,1952,1981
South Africa,Western Areas,Uranium Ore Processing,,Shutdown,Commercial,250 t U/year,1982,1998
South Africa,Western Deep Levels,Uranium Ore Processing,,Shutdown,Commercial,300 t U/year,1970,1985
South Africa,Valindaba Y - Plant,Uranium Enrichment,,Decommissioning,Pilot plant,10 MTSWU/year,1978,1990
South Africa,Valindaba (Laser),Uranium Enrichment,,Others,Pilot plant,30 MTSWU/year,1995,1998
South Africa,Beva,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,Shutdown,Commercial,100 t HM/year,1988,1996
South Africa,Pelindaba Fuel Fabrication,Fuel Fabrication (Research Reactors),,In Operation,Pilot plant,1 t HM/year,1978,
South Africa,Pelindaba Zircaloy Tubing,Zirconium Alloy Tubing,,Shutdown,Commercial,0 km/year,1988,1993
South Africa,Vaal Reefs - 2,Uranium Ore Processing,,In Operation,Commercial,1272 t U/year,1977,
South Africa,Uranium One,Uranium Ore Processing,,In Operation,Commercial,1200 t U/year,2007,
South Africa,Doornfontain,Uranium Mining,,Shutdown,Commercial,0 ,1956,1962
South Africa,Daggafontain,Uranium Mining,,Shutdown,Commercial,0 ,1953,1956
South Africa,President Styne Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,1956,1960
South Africa,President Brand Gold Mine,Uranium Mining,,Decommissioned,Commercial,0 ,1977,1990
South Africa,Beatrix Gold Mine,Uranium Mining,,Decommissioned,Commercial,0 ,1982,1984
South Africa,Millsite,Uranium Mining,,Shutdown,Commercial,0 ,1966,1976
South Africa,Lorraine Gold Mine,Uranium Mining,,Decommissioned,Commercial,0 ,1956,1960
South Africa,Luipaardsvlei Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,1955,1964
South Africa,Vogelstruitbult Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,1955,1964
South Africa,Virginia Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,1955,1986
South Africa,Freddies Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,1955,1960
South Africa,Saaiplaas Gold Mine,Uranium Mining,,Shutdown,Commercial,0 ,,2004
South Africa,Uranium One,Uranium Mining,,In Operation,Commercial,200 t U/year,2007,
South Africa,Mine Waste Solution,Uranium Mining,,Under Construction,Commercial,0 ,1979,1988
South Africa,Ezulwini Mining Company,Uranium Mining,,Under Construction,Commercial,0 ,2009,
Spain,Planta Lobo-G,Uranium Ore Processing,,Decommissioned,Commercial,27 t U/year,1989,1991
Spain,Planta Elefante,Uranium Ore Processing,,Decommissioned,Commercial,212 t U/year,1978,1993
Spain,Fabrica de combustible(Juzbado),"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",In Operation,Commercial,500 t HM/year,1985,
Spain,Planta Quercus,Uranium Ore Processing,,Shutdown,Commercial,805 t U/year,1993,2002
Spain,Andujar,Uranium Ore Processing,,Decommissioned,Commercial,80 t U/year,1959,1981
Spain,Trillo NPP,AFR Dry Spent Fuel Storage,,In Operation,Commercial,1045 t HM,2002,
Spain,"AFR Dry storage Facility, Almaraz",AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,297 t HM,2018,
Spain,AFR dry storage facility-Jose Cabrera NPP,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,100 t HM,2021,
Spain,AFR DSF-ASCO,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,475 t HM,2013,
Spain,La Virgen,Uranium Mining,,Decommissioned,, ,,
Spain,Montealegre U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Navalsano U Mine,Uranium Mining,,Decommissioned,, ,,
Spain,Cano U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Trapero U Mine,Uranium Mining,,Decommissioned,, ,,
Spain,San Vicente U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Casilla de la Flores U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Vadellascon U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Viesgo II U  mine,Uranium Mining,,Decommissioned,, ,,
Spain,Sevillana U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Carretona U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Ratones U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Broncana U mine,Uranium Mining,,Decommissioned,, ,,
Spain,cabra baja U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Garguera,Uranium Mining,,Decommissioned,, ,,
Spain,Perdices,Uranium Mining,,Decommissioned,, ,,
Spain,El Sabio U Mine,Uranium Mining,,Decommissioned,, ,,
Spain,Zafrilla U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Pedregal U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Maria Lozano U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Intermedia U mine,Uranium Mining,,Decommissioned,, ,,
Spain,Lobo U Mine,Uranium Mining,,Decommissioned,, ,,
Sweden,Clab ISF,AFR Wet Spent Fuel Storage (Pool),"UOX for PWR, UOX for BWR",In Operation,Commercial,8000 t HM,1985,
Sweden,Sandvik Materials Technology,Zirconium Alloy Tubing,,In Operation,Commercial,1000 km/year,1958,
Sweden,Westinghouse Electric Sweden AB,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",In Operation,Commercial,600 t HM/year,1971,
Sweden,Ranstad Mineral AB,Uranium Ore Processing,,Decommissioned,Commercial,120 t U/year,1965,2019
Sweden,Studsvik Nuclear AB,Disposal (HLW),,In Operation,Laboratory, ,1947,
Sweden,SFR,Disposal (HLW),,In Operation,Commercial,63000 t HM,1980,
Sweden,Chalmers university of Technology,Disposal (HLW),,In Operation,Laboratory, ,2018,
Sweden,Cyclife,Other-Related Industrial Activities,,In Operation,Commercial,5000 t/year,2016,
Switzerland,ZWILAG,AFR Dry Spent Fuel Storage,,In Operation,Commercial,2500 t HM,2001,
Switzerland,ZWIBEZ,AFR Dry Spent Fuel Storage,,In Operation,Commercial,600 t HM,2010,
Syrian Arab Republic,Syrian fertilizers plant,Uranium Recovery from Phosphates,,Under Construction,Pilot plant,0 t U/year,,
Tajikistan,"State Unitary Interprise ""Tajik Rare metals-Tajredmet""",Uranium Ore Processing,,Shutdown,Commercial,2000 t U/year,,1993
Thailand,TRR-1/M1 Spent fuel storage facility,AR Spent Fuel Storage (Wet),Fuel for Research Reactor,In Operation,Commercial,100 Elements/year,1977,2043
Tunisia,Gabes,Uranium Recovery from Phosphates,,Others,Commercial,120 t U/year,,
Türkiye,CNRC Nuclear Fuel Pilot Plant - Conversion,Conversion to UO2,,In Operation,Pilot plant,0.1 t HM/year,1986,
Türkiye,Koprubasi Pilot Plant,Uranium Ore Processing,,Shutdown,Pilot plant,1 t U/year,1974,1982
Türkiye,MTA Technology Lab.,Uranium Recovery from Phosphates,,Shutdown,Pilot plant,0.1 t U/year,1987,1990
Türkiye,MTA Technology Lab - ThO2 Recovery,Uranium Ore Processing,,Shutdown,Laboratory,0 t U/year,2003,2006
Türkiye,CNRC Nuclear Fuel Pilot Plant - Pellet Production,"Fuel Fabrication (U Pellet, Pin, FA)",,In Operation,Pilot plant,0.1 t HM/year,1986,
Türkiye,MTA Technology Lab - Uranium Ore Processing,Uranium Ore Processing,,Shutdown,Laboratory,0 t U/year,2009,2010
Türkiye,RWMF,Disposal (LILW),,In Operation,Commercial,5000 m3,1989,2035
Ukraine,Dnieprodzerzynsk,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1947,1990
Ukraine,Chernobyl NPP Site,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2518 t HM,1986,
Ukraine,Zheltiye Vody,Uranium Ore Processing,,In Operation,Commercial,1000 t U/year,1959,
Ukraine,Zaporozhe NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,9120 Cask-Bund.,2001,
Ukraine,Chernobyl NPP Site,AFR Dry Spent Fuel Storage,,Others,Commercial,21350 Cask-Bund.,2004,
Ukraine,Centralised  spent fuel storage facility,AFR Dry Spent Fuel Storage,,Under Construction,Commercial,16529 Elements/year,2021,
United Kingdom,NDA Capenhurst (GD),Uranium Enrichment,,Decommissioned,Commercial,350 MTSWU/year,1953,1982
United Kingdom,Springfields Main Line Chemical Plant,Conversion to UF4,,In Operation,Commercial,10000 t HM/year,1960,
United Kingdom,Springfields AGR Fuel Canning Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,Shutdown,Commercial,300 t U/year,1968,1999
United Kingdom,Springfields Magnox Canning Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,Shutdown,Commercial,1000 t U/year,1960,2011
United Kingdom,Springfields Oxide Fuel Complex (PWR),"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,200 t U/year,1993,
United Kingdom,Springfields ( Hex Conversion),Conversion to UF6,,In Operation,Commercial,6000 t HM/year,1993,
United Kingdom,Springfields U Metal Plant,Conversion to U Metal,,Decommissioning,Commercial,2000 t HM/year,1960,2006
United Kingdom,NDA Sellafield Magnox Reprocessing,Spent Fuel Reprocessing - aqueous route,,In Operation,Commercial,1000 t U/year,1964,2020
United Kingdom,NDA Sellafield Pond 3,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2300 t HM,1964,2046
United Kingdom,NDA Sellafield  Pond,AFR Wet Spent Fuel Storage (Pool),,Decommissioning,Commercial,1500 t HM,1960,1986
United Kingdom,"NDA Reprocessing Plant, MTR",Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0.2 t HM/year,1958,1998
United Kingdom,"NDA Reprocessing Plant, MOX",Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,4 t HM/year,1980,1998
United Kingdom,Springfields Line 3 Hex Plant,Conversion to UF6,,Decommissioned,Commercial,1200 t HM/year,,
United Kingdom,NDA Sellafield Fuel Handling Plant,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2700 t HM,1986,
United Kingdom,NDA Sellafield Pond 4,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,1500 t HM,1981,2040
United Kingdom,NDA MOX For FBR,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Shutdown,Commercial,6 t HM/year,1970,1988
United Kingdom,NDA Sellafield MOX Plant (SMP),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Shutdown,Commercial, t HM/year,1999,2012
United Kingdom,"NDA Thorp RT and ST-1,2",AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,3800 t HM,1988,2085
United Kingdom,NDA Sellafield Thorp,Spent Fuel Reprocessing - aqueous route,,Shutdown,Commercial,900 t U/year,1994,2018
United Kingdom,Urenco UK,Uranium Enrichment,,In Operation,Commercial,4500 MTSWU/year,1972,
United Kingdom,NDA Sellafield MDF (MOX Demonstration Facility),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Shutdown,Pilot plant,8 t HM/year,1993,2000
United Kingdom,NDA Fuel Fabrication Plant,Fuel Fabrication (Research Reactors),,Decommissioned,Commercial,500 Elements/year,1957,2004
United Kingdom,DOUNREAY Fuel Storage Facility,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,20 t HM,1982,
United Kingdom,NDA Conversion Plant,Conversion to U Metal,,Decommissioning,Commercial,4 t HM/year,1957,
United Kingdom,Springfields Line 4 Hex Plant,Conversion to UF6,,In Operation,Commercial,6000 t U/year,1993,
United Kingdom,Springfields OFC AGR Line,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,In Operation,Commercial,290 t U/year,1996,
United Kingdom,Springfields ( UO2 Conversion),Conversion to UO2,,In Operation,Commercial,900 t U/year,1993,
United Kingdom,Springfields OFC LWR Line,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Shutdown,Commercial,200 t U/year,1996,1999
United Kingdom,Springfields IDR Plant,Conversion to UO2,,Decommissioning,Commercial,500 t HM/year,1970,1999
United Kingdom,Miscellaneous Pellet Plant,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioning,Commercial,150 t HM/year,1985,1998
United Kingdom,Springfields Enr. U Residue Recovery Plant,Conversion to UO2,,In Operation,Commercial,65 t HM/year,1985,
United Kingdom,NDA Wylfa NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,700 t HM,1979,2015
United Kingdom,NDA Plutonium Finishing Line III,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,1962,1988
United Kingdom,NDA Fuel Manufacturing Facility (Winfrith),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Pilot plant,10 t HM/year,1962,1992
United Kingdom,NDA Dry Recovery Plant,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1974,1975
United Kingdom,NDA Coprecipitation Plant,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,1969,1976
United Kingdom,NDA Magnox Reprocessing Pilot Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0 t HM/year,1956,1968
United Kingdom,NDA Uranium Purification Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1973
United Kingdom,NDA Solvent Regeneration Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1963
United Kingdom,NDA  Pu Residues Recovery Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1954,1987
United Kingdom,NDA  Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1973
United Kingdom,NDA Plutonium Operating Corridors,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1964,1968
United Kingdom,NDA Sellafield Pond,AFR Wet Spent Fuel Storage (Pool),,Decommissioning,Commercial,0 t HM,1952,1964
United Kingdom,NDA Dry Granulation Production,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,,1988
United Kingdom,NDA Thorp Miniature Pilot Plant (TMPP),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0 t HM/year,,
United Kingdom,NDA Sellafield North Group Facilities,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Commercial,0 t HM/year,1953,1985
United States of America,Allens Park,Zirconium Alloy Tubing,,In Operation,Commercial,500 km/year,1981,
United States of America,Apollo,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for FBR,Decommissioned,Commercial,360 t HM/year,1957,1986
United States of America,Bear Creek,Uranium Ore Processing,,Decommissioned,Laboratory,400 t U/year,1977,1985
United States of America,Bluewater,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1982
United States of America,Bruni,Uranium Ore Processing,,Decommissioned,Commercial,330 t U/year,1977,1980
United States of America,Burns,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1977,1987
United States of America,Canon City-I,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,1958,1987
United States of America,L-Bar,Uranium Ore Processing,,Decommissioned,Commercial,1000 t U/year,1976,1981
United States of America,Christensen Ranch,Uranium Ore Processing,,Stand By,Commercial,250 t U/year,1989,2000
United States of America,Clay West,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1975,1987
United States of America,Columbia Fuel Fabrication Facility,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,1350 t U/year,1969,
United States of America,Faustina (Agrico),Uranium Recovery from Phosphates,,Stand By,Commercial,181 t U/year,1981,1999
United States of America,Falls City,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1983
United States of America,Gas Hills / American Nuclear,Uranium Ore Processing,,Decommissioned,Commercial,400 t U/year,1959,1986
United States of America,Sequoyah Facility,Conversion to UF6,,Shutdown,Commercial,9090 t HM/year,1970,1993
United States of America,Hematite (ABB-CE),"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioning,Commercial,450 t HM/year,1986,2001
United States of America,Hobson,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,1979,
United States of America,Grants,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1958,1990
United States of America,Irigaray Ranch,Uranium Ore Processing,,Stand By,Commercial,130 t U/year,1978,
United States of America,Split Rock,Uranium Ore Processing,,Decommissioned,Laboratory,0 t U/year,1973,1982
United States of America,Kennewick,Zirconium Alloy Tubing,,In Operation,Commercial,2200 km/year,1981,
United States of America,Kingsville Dome,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,1988,1999
United States of America,Las Palmas,Uranium Ore Processing,,Decommissioning,Commercial,0 t U/year,1981,1984
United States of America,Lisbon,Uranium Ore Processing,,Decommissioned,Commercial,350 t U/year,1972,1988
United States of America,Lucky Mc (Pathfinder),Uranium Ore Processing,,Stand By,Commercial,710 t U/year,1978,1985
United States of America,Lynchburg - FC Fuels,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,400 t HM/year,1982,
United States of America,McBryde,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1983,1985
United States of America,Metropolis Conversion Facility,Conversion to UF6,,In Operation,Commercial,7000 t U/year,1964,
United States of America,Moab,Uranium Ore Processing,,Decommissioned,Commercial,1500 t U/year,1956,1988
United States of America,Morris Reprocessing Plant Site (Wet),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,750 t HM,1984,
United States of America,Mt. Lucas,Uranium Ore Processing,,Decommissioning,Commercial,100 t U/year,1984,1988
United States of America,Bartow Module,Uranium Recovery from Phosphates,,Decommissioned,Commercial,200 t U/year,1976,1980
United States of America,Gas Hills / Umetco,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,1960,1986
United States of America,"Oak Ridge K-25, Y-12",Uranium Enrichment,,Decommissioning,Commercial,8500 MTSWU/year,1945,1985
